# experiment=tt_sweep engine=helix-f3270d5 date=20260808-012157
# suite=tests/data/stockfish-bench-all.epd budget_ms=1000 reps=3 mb=1,4,16,64,256 entry_bytes=32 positions=309
fen_id,tt_mb,rep,completed_depth,seldepth,nodes,qnodes,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
78,1,1,9,17,1707008,868391,411304,54891,134022,85072,0.1335,949,d6c7,hard_time
78,1,2,9,17,1694720,862293,405800,53976,132449,83578,0.1330,950,d6c7,hard_time
79,1,0,9,16,1366121,674731,373785,66931,124566,73223,0.1791,836,d7d4,soft_time
79,1,1,9,16,1366121,674731,373785,66931,124566,73223,0.1791,836,d7d4,soft_time
79,1,2,9,16,1366121,674731,373785,66931,124566,73223,0.1791,834,d7d4,soft_time
80,1,0,10,19,1592320,755709,452095,79933,165319,115367,0.1768,950,c6b5,hard_time
80,1,1,10,19,1596416,757823,453562,79982,165778,115817,0.1763,949,c6b5,hard_time
80,1,2,10,19,1606656,762975,457039,80226,166956,116976,0.1755,950,c6b5,hard_time
81,1,0,9,18,1532928,797010,432052,48008,135119,89738,0.1111,951,d7d4,hard_time
81,1,1,9,18,1518592,789407,429129,47714,134347,89021,0.1112,949,d7d4,hard_time
81,1,2,9,18,1519616,790003,429388,47717,134380,89052,0.1111,949,d7d4,hard_time
82,1,0,8,17,1568768,802830,434498,56582,140457,92233,0.1302,950,h7h5,hard_time
82,1,1,8,17,1569792,803434,434907,56591,140559,92326,0.1301,949,h7h5,hard_time
82,1,2,8,17,1566720,801675,433693,56545,140242,92034,0.1304,950,h7h5,hard_time
83,1,0,9,18,1689600,844473,433768,60576,143742,100077,0.1397,949,a7e7,hard_time
83,1,1,9,18,1686528,842884,432942,60505,143486,99847,0.1398,949,a7e7,hard_time
83,1,2,10,18,1692686,846100,434586,60661,143938,100262,0.1396,943,a7e7,soft_time
84,1,0,10,19,1587200,789058,401602,61233,143122,92243,0.1525,949,b8c7,hard_time
84,1,1,10,19,1585152,788036,400878,61183,142831,91967,0.1526,949,b8c7,hard_time
84,1,2,10,19,1585152,788036,400878,61183,142831,91967,0.1526,950,b8c7,hard_time
85,1,0,9,17,1507328,757099,426394,51123,147938,104712,0.1199,951,a3a2,hard_time
85,1,1,9,17,1498112,752512,424086,50908,147032,103819,0.1200,950,a3a2,hard_time
85,1,2,9,17,1500160,753574,425101,51013,147386,104170,0.1200,950,a3a2,hard_time
